word	sentence	translation	difficulty_rank
alius	Ubi est frāter alius tuus?	Where is your other brother?	19999
solvō	Cui solvō?	Who do I pay?	19999
vester	Ubi frāter vester est?	Where's your brother?	19999
tunc	Ita, tunc flēvī.	Yes, I cried then.	19999
gladius	Gladius ācer est.	The sword is sharp.	19999
certus	Certus es.	You're reliable.	19999
aut	Aut Caesar, aut nihil.	Either emperor, or nothing.	19999
dolor	Numquam ēvānēscit dolor.	The pain never goes away.	19999
fortasse	Fortasse ita, fortasse aliter.	Maybe yes, maybe not.	19999
moneō	Moneō ut festīnēmus.	I suggest we hurry.	19999
lingua	Hebraica lingua difficilis est.	Hebrew is a difficult language.	19999
dominus	Dominus ūnus est.	The Lord is one.	19999
simul	Simul cēnāmus.	We have dinner together.	19999
patior	Patior propter tē.	I suffer because of you.	19999
propter	Patior propter tē.	I suffer because of you.	19999
legō	Litterās legō.	I read a letter.	19999
cor	Cantus bonus est ad cor.	Singing is good for the heart.	19999
sapientia	Sapientia est potentia.	Wisdom is power.	19999
ipse	"""Quis es?"" ""Ego ipse sum."""	"""Who are you?"" ""I'm myself."""	19999
vester	Liber vester est sordidus.	Your book is dirty.	19999
indignus	Hōc indignus sum.	I am not worthy of this.	19999
anima	Lingua est anima litterārum.	Language is the soul of literature.	19999
quidem	Īnsānit hic quidem.	He's crazy for sure.	19999
corpus	Corpus rōbustum est.	The body is strong.	19999
amō	Piscēs amō.	I love fish.	19999
mīles	Mīles currit.	The soldier runs.	19999
summus	Summus mōns est.	It is the highest mountain.	19999
impetus	Impetus coepit!	The attack has begun!	19999
licet	Licet īnsānīre.	It's OK to be crazy.	19999
tamen	Tamen suspicax sum.	I'm still paranoid.	19999
