rank	word	pos	en
1952	furios	adj	furious
1953	tratament	noun	treatment
1954	semne	noun	plural of semn
1955	primii	verb	first-person singular simple perfect indicative of primi
1956	preferat	adj	preferred, of choice
1957	ochiul	noun	definite nominative/accusative singular of ochi
1958	geniu	noun	genius; spirit, genie
1959	africa	name	Africa (the continent south of Europe and between the Atlantic and Indian Oceans)
1960	mesaje	noun	plural of mesaj
1961	no	intj	well, so
1962	îndată	adv	immediately, at once, instantly
1963	minciuni	noun	plural of minciună
1964	ouă	noun	plural of ou
1965	parca	verb	to park
1966	traducere	noun	translation
1967	apărare	noun	defence
1968	pod	noun	bridge; attic
1969	zgomot	noun	noise
1970	faza	noun	definite nominative/accusative singular of fază
1971	de-o	contraction	contraction of de + o
1972	nevasta	noun	definite nominative/accusative singular of nevastă
1973	c-a	contraction	contraction of că + a
1974	încrederea	noun	definite nominative/accusative singular of încredere
1975	urgent	adj	urgent
1976	fosta	noun	definite nominative/accusative singular of fostă
1977	înțeles	adj	understood
1978	colegiu	noun	college
1979	miliarde	noun	plural of miliard
1980	cuminte	adj	obedient, good, quiet, calm, well-behaved
1981	parcare	noun	parking lot; parking (action of parking)
1982	doc	noun	dock
1983	câini	noun	plural of câine
1984	străin	adj	foreign, strange
1985	folosească	verb	third-person singular/plural present subjunctive of folosi
1986	magie	noun	magic
1987	sală	noun	room; hall
1988	mut	verb	I move, I move house (first-person singular of a muta / a se muta: o să mă mut în Paris “I'm going to move to Paris”, nu eram în stare să mut biroul “I couldn't move the desk by myself”); as an adjective: mute, dumb, speechless — a rămas mut “he was left speechless”, film mut “silent film”
1989	căci	conj	for, because
1990	priceput	adj	skilled
1991	suc	noun	juice; soda (sweet bottled drink)
1992	razi	verb	second-person singular present indicative/subjunctive of rade
1993	aceia	det	nominative/accusative masculine plural of acela
1994	jaf	noun	robbery
1995	legal	adj	legal, lawful
1996	mincinos	adj	lying, mendacious, untrue
1997	ilegal	adj	illegal, unlawful
1998	grele	adj	genitive/dative indefinite feminine singular
1999	pachet	noun	pack, bundle, package, parcel
2000	păstrat	noun	reserved
2001	viteză	noun	speed; gear (option for a selectable gear ratio)
2002	presiune	noun	pressure
2003	lupt	verb	first-person singular present indicative/subjunctive of lupta
2004	personală	adj	indefinite feminine nominative/accusative singular of personal
2005	pământului	noun	definite dative/genitive singular of pământ
2006	conta	verb	to count (to be of significance; to matter), be an example of something
2007	india	name	India (a country in South Asia)
2008	teama	noun	definite nominative/accusative singular of teamă
2009	treburile	noun	definite nominative/accusative plural of treabă
2010	măi	intj	oh, oh my, hey (used to express admiration, wonder or surprise)
2011	transport	noun	transport
2012	uau	intj	wow
2013	răpit	adj	kidnapped; enchanted
2014	gelos	adj	jealous
2015	lemn	noun	wood; timber
2016	legii	name	a village in Geaca, Cluj County, Romania
2017	gen	noun	type, sort, kind
2018	îmbrăcat	adj	dressed (having clothes)
2019	ofertă	noun	offer
2020	cafeaua	noun	definite nominative/accusative singular of cafea
2021	împinge	verb	to push (transitive: apply a force to (an object) so that it moves away), thrust, shove
2022	mărturie	noun	testimony, witness
2023	pardon	intj	pardon!, pardon me!, excuse me!, I beg your pardon!, sorry!
2024	roman	noun	novel, epic (work of fiction)
2025	imaginez	verb	first-person singular present indicative/subjunctive of imagina
2026	condamnat	noun	convict
2027	fix	adj	fixed
2028	fantomă	noun	phantom
2029	cânt	noun	chant; canto
2030	pt	prep	abbreviation of pentru (“for”)
2031	efect	noun	effect
2032	plâns	verb	past participle of plânge
2033	adăpost	noun	shelter; a sheltered place
2034	rai	noun	eden; paradise
2035	moale	adj	soft; weak
2036	lord	noun	lord
2037	apropia	verb	to bring near; to approach, draw closer
2038	val	noun	wave
2039	imagini	noun	plural of imagine
2040	obligat	adj	bound, obliged, forced
2041	dublu	adj	double
2042	urcat	noun	climbing, mounting
2043	siguranță	noun	certainty, sureness, surety
2044	indiciu	noun	clue
2045	demult	adv	long time ago
2046	medical	adj	medical
2047	fiicei	noun	definite dative/genitive singular of fiică
2048	strâns	adv	closely, tightly
2049	abandonat	adj	abandoned
2050	engleză	noun	English (language)
2051	încheiat	adj	ended
2052	iertare	noun	forgiveness, pardon
2053	prosti	verb	to fool, to trick
2054	ocupam	verb	first-person singular/plural imperfect indicative of ocupa
2055	băga	verb	to insert, put in, put into
2056	trădat	adj	betrayed, backstabbed
2057	ziar	noun	newspaper, gazette
2058	cadă	noun	tub, bathtub; vat
2059	secretă	adj	indefinite feminine nominative/accusative singular of secret
2060	local	adj	local
2061	teatru	noun	theatre
2062	pilot	noun	pilot
2063	presa	verb	to press
2064	munte	noun	mountain
2065	autobuzul	noun	definite nominative/accusative singular of autobuz
2066	culoarea	noun	definite nominative/accusative singular of culoare
2067	dator	adj	indebted (to); obliged (to)
2068	banda	noun	definite nominative/accusative singular of bandă
2069	gaura	noun	definite nominative/accusative singular of gaură
2070	vânt	noun	wind (movement of air)
2071	brânză	noun	cheese; type of cheese
2072	repara	verb	to repair, fix
2073	tratat	noun	treaty; treatise
2074	râu	noun	river
2075	sigura	adj	definite nominative/accusative feminine singular of sigur
2076	satul	noun	definite nominative/accusative singular of sat
2077	răbdare	noun	patience; suffering
2078	nasol	adj	ugly; ridiculous
2079	pierdere	noun	loss; defeat
2080	miracol	noun	miracle
2081	curios	adj	curious
2082	sexul	noun	definite nominative/accusative singular of sex
2083	salvare	noun	rescue; ambulance
2084	vie	noun	vineyard; vine
2085	rol	noun	role
2086	atingi	verb	second-person singular present indicative/subjunctive of atinge
2087	deocamdată	adv	for the time being
2088	urmări	verb	to watch; to follow, to pursue
2089	ferma	noun	definite nominative/accusative singular of fermă
2090	protejez	verb	first-person singular present indicative/subjunctive of proteja
2091	neapărat	adv	without fail, absolutely, at all costs, necessarily
2092	hol	noun	hall; lobby
2093	buzunar	noun	pocket (in clothes)
2094	repeta	verb	to repeat (do again)
2095	brad	noun	fir, Abies alba.
2096	aduna	verb	to gather, to collect
2097	dezamăgit	verb	past participle of dezamăgi
2098	adevăr	noun	truth
2099	printr-o	contraction	contraction of prin + o: through a, by a
2100	degeaba	adv	for nothing, for free
2101	curvă	noun	whore, slut, tramp, harlot, hooker; a promiscuous woman
2102	adn	noun	initialism of acid dezoxiribonucleic; DNA
2103	urmare	noun	result, consequence
2104	salutare	noun	salutation
2105	varul	name	a river in Sibiu, Romania, tributary to the Sadu
2106	eveniment	noun	event
2107	comandat	adj	ordered
2108	companiei	noun	definite genitive/dative singular of companie
2109	statul	noun	definite nominative/accusative singular of stat
2110	boală	noun	disease, sickness, illness
2111	depozit	noun	deposit; warehouse
2112	alcool	noun	alcohol (intoxicating beverage)
2113	curată	adj	indefinite nominative/accusative feminine singular of curat
2114	antrenor	noun	trainer (coach)
2115	star	noun	star (famous person)
2116	sunet	noun	sound, noise
2117	războiului	noun	definite dative/genitive singular of război
2118	capătul	noun	definite nominative/accusative singular of capăt
2119	murdar	adj	dirty
2120	vreunul	pron	one, someone, anyone
2121	inel	noun	ring
2122	germania	name	Germany (a country in Central Europe)
2123	scump	adj	expensive
2124	durat	noun	building, construction
2125	c-ar	contraction	contraction of că + ar
2126	stil	noun	style, manner; genre
2127	piesă	noun	piece; play
2128	merit	noun	merit
2129	finală	noun	final
2130	folosind	verb	gerund of folosi
2131	iubim	verb	first-person plural present indicative of iubi: we love
2132	mexic	name	Mexico (a country in North America)
2133	crea	verb	to create
2134	incendiu	noun	fire (occurrence of fire in a certain place)
2135	nota	verb	to make a note of, note down in writing
2136	vrăjitoare	noun	female equivalent of vrăjitor: witch
2137	mos	noun	a cup
2138	copie	noun	copy
2139	deosebit	adj	different, distinct (especially from each another)
2140	focuri	noun	plural of foc
2141	vas	noun	vessel; watercraft
2142	explozie	noun	explosion
2143	stupid	adj	stupid
2144	romantic	adj	romantic
2145	luminile	name	a village in Morărești, Argeș County, Romania
2146	oricât	adv	however much
2147	v-ar	contraction	contraction of vă + ar
2148	implica	verb	to imply; to implicate
2149	ordonat	adj	orderly
2150	politică	adj	indefinite nominative/accusative feminine singular of politic
2151	sare	noun	salt
2152	scuză	noun	excuse; apology
2153	zborul	noun	definite nominative/accusative singular of zbor
2154	îngropat	noun	buried
2155	eh	intj	expresses dissatisfaction or sadness
2156	familii	noun	indefinite plural
2157	terenul	noun	nominative/accusative definite singular of teren (“terrain”)
2158	primar	adj	first; primary
2159	cumpărături	noun	plural of cumpărătură — purchase
2160	privit	noun	viewed, seen
2161	ușor	adj	light (not heavy)
2162	proba	verb	to prove, demonstrate
2163	reale	adj	nominative/accusative feminine/neuter plural of real
2164	confirma	verb	to confirm
2165	politica	adj	definite nominative/accusative feminine singular of politic
2166	urca	verb	to climb, ascend, go up, rise
2167	produs	noun	product; produce
2168	trafic	noun	traffic
2169	căruia	name	a village in Terpezița, Dolj County, Romania
2170	sac	noun	sack, bag
2171	vânzare	noun	sale
2172	gras	adj	fat
2173	bucurie	noun	happiness (emotion of being happy)
2174	uscat	adj	dry; dried
2175	vindeca	verb	to heal, cure; to heal, recover
2176	lac	noun	lake
2177	cântecul	noun	definite nominative/accusative singular of cântec
2178	vince	verb	to win; defeat
2179	teoria	noun	definite nominative/accusative singular of teorie
2180	vară	noun	summer
2181	muncit	adj	worked
2182	soc	noun	elder (plant)
2183	avertizat	adj	warned
2184	excursie	noun	trip
2185	fan	noun	fan (admirer, supporter)
2186	deranjat	adj	in disorder, disturbed, deranged
2187	plecare	noun	departure, parting, leaving
2188	indica	verb	to indicate
2189	cartofi	noun	indefinite nominative/accusative/genitive/dative plural of cartof
2190	roz	adj	rose, rose-colored
2191	ridici	verb	second-person singular present indicative/subjunctive of ridica
2192	mândră	noun	female equivalent of mândru
2193	fetei	noun	definite genitive/dative singular of fată
2194	venind	verb	gerund of veni (“coming”)
2195	victorie	noun	victory
2196	militar	noun	soldier
2197	răzbunare	noun	retribution (punishment inflicted in the spirit of moral outrage or personal vengeance)
2198	zbura	verb	to fly
2199	comandant	noun	commander
2200	vechea	name	a village in Chinteni, Cluj County, Romania
2201	privi	verb	to look, gaze, regard, watch, behold
2202	sănătos	adj	healthy
2203	mondial	adj	worldwide
2204	privat	adj	private
2205	impresionant	adj	impressive
2206	presă	noun	press
2207	drepturile	noun	definite nominative/accusative plural of drept
2208	natural	adj	natural
2209	orb	adj	blind
2210	protejeze	verb	third-person singular/plural present subjunctive of proteja
2211	certat	adj	rebuked
2212	fum	noun	smoke
2213	întâmplare	noun	happening, occurrence
2214	tabăra	noun	definite nominative/accusative singular of tabără
2215	primim	verb	first-person plural present indicative/subjunctive of primi
2216	computer	noun	computer
2217	murim	verb	first-person plural present indicative/subjunctive of muri
2218	dureri	noun	plural of durere
2219	răspunsuri	noun	plural of răspuns
2220	cercetare	noun	search; examination
2221	numi	verb	to name; to be called
2222	modă	noun	fashion
2223	carol	name	a male given name from Latin, equivalent to English Charles
2224	plictisitor	adj	boring, annoying
2225	alarma	verb	to alarm, to alert
2226	părăsesc	verb	first-person singular present indicative/subjunctive
2227	reciproc	adj	reciprocal; mutual
2228	aparat	noun	device; system (set of organs)
2229	mizerie	noun	misery (great unhappiness)
2230	anterior	adj	previous
2231	stan	noun	a male given name
2232	imaginat	adj	imagined
2233	rezervă	noun	reserve (something reserved for future use)
2234	ți-am	contraction	contraction of îți + am
2235	acoperit	adj	covered
2236	vise	noun	plural of vis
2237	ploaie	noun	rain
2238	distrat	adj	absent-minded
2239	nemernic	adj	infamous, ignoble, wicked, base, mean, foul, knavish, villainous, wretched
2240	drogat	adj	drugged; high, stoned
2241	mina	verb	to mine; to undermine
2242	cresc	verb	first-person singular present indicative/subjunctive
2243	fața	noun	definite nominative/accusative singular of față
2244	profesionist	adj	professional
2245	femeilor	noun	definite genitive/dative plural of femeie
2246	acoperi	verb	to cover; to shield
2247	sunetul	noun	definite nominative/accusative singular of sunet
2248	degete	noun	indefinite plural of deget
2249	ocupe	verb	third-person singular/plural present subjunctive of ocupa
2250	retras	adj	solitary, secluded, withdrawn
2251	fiică	noun	daughter
2252	risca	verb	to risk (incur a risk)
2253	declarat	adj	declared
2254	împrumut	noun	loan
2255	suferi	verb	to suffer; to suffer, to endure
2256	pietre	noun	plural of piatră
2257	câmp	noun	field
2258	știm	verb	first-person plural present indicative/subjunctive of ști
2259	ce-l	contraction	contraction of ce + îl
2260	considerat	adj	considered
2261	antrenament	noun	training
2262	categoric	adj	categorical
2263	plată	noun	pay, payment; fee
2264	unitate	noun	unit
2265	bal	noun	ball (party)
2266	după-amiază	adv	in the afternoon (in one specific afternoon)
2267	aha	intj	feminine singular of al (“of”, possessive article)
2268	păcălit	adj	fooled
2269	canapea	noun	sofa, settee, couch, chesterfield
2270	gândurile	noun	definite nominative/accusative plural of gând
2271	lungi	verb	to lengthen, elongate, extend
2272	talent	noun	talent
2273	umbla	verb	to walk around, wander, scour
2274	făceai	verb	second-person singular imperfect indicative of face
2275	nenorocită	noun	female equivalent of nenorocit
2276	zahăr	noun	sugar
2277	dansezi	verb	second-person singular present indicative/subjunctive of dansa
2278	gândul	noun	definite nominative/accusative singular of gând
2279	nisip	noun	sand
2280	înger	noun	angel
2281	veți	verb	will
2282	maiestate	noun	majesty
2283	fire	noun	plural of fir
2284	căsători	verb	to marry, wed (become married or wedded to), get married
2285	asigurare	noun	assurance; insurance
2286	fir	noun	thread, string, filament, wire
2287	mediu	adj	mean, medium, average
2288	negativ	adj	negative
2289	sănătate	noun	health
2290	aparent	adj	seeming
2291	obiect	noun	object
2292	pasăre	noun	bird
2293	salvam	verb	first-person singular/plural imperfect indicative of salva
2294	înregistrat	noun	registered
2295	criză	noun	crisis
2296	ocean	noun	ocean
2297	artist	noun	artist
2298	numere	noun	plural of număr: numbers
2299	cadavre	noun	plural of cadavru
2300	bătrână	adj	indefinite nominative/accusative feminine singular of bătrân
2301	spălat	adj	washed, clean
2302	pescuit	noun	fishing
2303	tristă	noun	female equivalent of trist
2304	profund	adj	profound, deep
2305	expert	noun	expert (person with extensive knowledge or ability in a given field)
2306	ridic	verb	first-person singular present indicative/subjunctive of ridica
2307	trezi	verb	to get up, wake up
2308	lipsesc	verb	first-person singular present indicative/subjunctive
2309	zilnic	adj	daily
2310	inimii	noun	definite dative/genitive singular of inimă
2311	înregistrare	noun	recording
2312	câinii	noun	definite nominative/accusative plural of câine
2313	soarelui	noun	definite genitive/dative singular of soare
2314	gaz	noun	gas (state of matter)
2315	marfă	noun	goods, merchandise
2316	iarbă	noun	grass; herb
2317	încotro	adv	which way, whither, whereto
2318	statele	noun	definite nominative/accusative plural of stat
2319	rar	adj	sparse, thin; scarce, few
2320	observa	verb	to observe; to perceive, to notice, to remark (aloud)
2321	cerem	verb	first-person plural present indicative/subjunctive of cere
2322	dosar	noun	dossier (collection of papers containing information about a particular person or subject)
2323	sinucidere	noun	suicide
2324	dezgustător	adj	disgusting, abhorrent, repulsive, loathsome
2325	lunii	noun	definite dative/genitive singular of lună
2326	simți	verb	to feel (of both tangibles and intangibles)
2327	ierta	verb	to forgive; to exempt, to relieve someone of an obligation or a debt
2328	sol	noun	the lowest part of something; bottom, ground, base, foundation, bed
2329	evita	verb	to avoid
2330	baseball	noun	baseball
2331	câtă	adj	feminine singular of cât
2332	respecta	verb	to respect (hold in esteem)
2333	inutil	adj	useless; of no use or purpose
2334	zburat	adj	flying
2335	studiat	adj	studied
2336	împreuna	verb	to join, combine, put together, couple, unite
2337	rusia	name	Russia (a transcontinental country in Eastern Europe and North Asia)
2338	dorim	verb	first-person plural present indicative/subjunctive of dori
2339	interzis	adj	forbidden
2340	fura	verb	to steal; to defraud, to steal from someone
2341	familiile	noun	definite nominative/accusative plural of familie
2342	sărutat	noun	kiss
2343	altora	pron	genitive/dative plural of altul
2344	statie	noun	article of a document
2345	greșit	adj	wrong
2346	pază	noun	guard; watch (act of guarding)
2347	ridice	verb	third-person plural present subjunctive of ridica
2348	celulă	noun	cell
2349	p	prep	abbreviation of pe
2350	negre	adj	feminine plural of negru
2351	sfânt	adj	holy, sacred; saintly
2352	oase	noun	plural of os
2353	bandă	noun	tape, band; lane (lengthwise division of roadway intended for a single line of vehicles)
2354	ministru	noun	minister
2355	cerere	noun	request; demand
2356	tort	noun	thread (spun and made of hemp)
2357	le-ar	contraction	contraction of le + ar
2358	faceți	verb	second-person plural present indicative/subjunctive
2359	gravidă	adj	nominative/accusative feminine singular of gravid
2360	provocat	verb	past participle of provoca
2361	ieftin	adj	cheap
2362	sexual	adj	sexual
2363	mutam	verb	first-person singular/plural imperfect indicative of muta
2364	vot	noun	vote
2365	dulap	noun	wardrobe (cabinet in which clothes are stored)
2366	dormitor	noun	bedroom (room in a house where a bed is kept for sleeping)
2367	univers	noun	universe
2368	articol	noun	article (story, report, or opinion piece)
2369	refuz	noun	refusal
2370	ureche	noun	ear
2371	harta	noun	definite nominative/accusative singular of hartă
2372	jucător	noun	player (one who plays a game or sport)
2373	pacea	noun	definite nominative/accusative of pace
2374	explicat	adj	explained
2375	jocurile	noun	definite nominative/accusative plural of joc
2376	fructe	noun	plural of fruct
2377	universul	noun	definite nominative/accusative singular of univers
2378	minge	noun	ball (especially a soft one)
2379	altcuiva	pron	genitive/dative singular of altcineva
2380	baia	noun	definite nominative singular of baie: the bathroom
2381	han	noun	inn, caravanserai
2382	jurat	verb	vowed, swore
2383	fizic	adj	physical
2384	fotografia	verb	to photograph; to take a photograph
2385	dinainte	adv	before; ahead of time
2386	umple	verb	to fill, fill up
2387	soția	noun	definite nominative/accusative singular of soție
2388	genial	adj	ingenious, characteristic of a genius
2389	pisică	noun	cat
2390	întârziere	noun	lateness; delay
2391	central	adj	central, pivotal, nodal
2392	ban	noun	money; coin; ban (unit of currency, one hundredth of a leu)
2393	atras	adj	attracted
2394	teorie	noun	theory
2395	italia	name	Italy (a country in Southern Europe)
2396	pretinde	verb	to pretend; to claim, allege, assert, insist on
2397	dispare	verb	third-person singular present indicative of dispărea
2398	descoperi	verb	to uncover; to take off one's headgear (in reverence)
2399	joi	noun	Thursday
2400	puteri	noun	plural; genitive/dative singular
2401	sinucis	noun	suicider
2402	înțeleg	verb	first-person singular present indicative/subjunctive
2403	nemaipomenit	adj	which has not yet been mentioned; unprecedented
2404	furtună	noun	storm, tempest, squall
2405	povestit	noun	told (about a story)
2406	sexuală	adj	nominative feminine singular of sexual sexual
2407	pasul	noun	definite nominative/accusative singular of pas
2408	știut	adj	known
2409	însurat	adj	married (for males)
2410	transmite	verb	to transmit, transfer, convey
2411	confuz	adj	confused, mixed up
2412	marginea	name	a locality in Buhuși, Bacău County, Romania
2413	efort	noun	effort
2414	penny	noun	penny
2415	de-abia	adv	synonym of abia
2416	magic	adj	magical
2417	rade	verb	to shave (someone or something, respectively oneself)
2418	oportunitate	noun	opportunity
2419	ceară	noun	wax
2420	mila	noun	definite nominative/accusative singular of milă
2421	carnea	noun	definite nominative/accusative singular of carne
2422	fure	verb	third-person singular/plural present subjunctive of fura
2423	garaj	noun	garage
2424	lipsă	noun	absence; lack, want, deficiency
2425	zid	noun	wall (generally outside, as in the wall of a building)
2426	eroul	noun	definite nominative/accusative singular of erou
2427	terapie	noun	therapy
2428	apropii	verb	first/second-person singular present indicative/subjunctive of apropia
2429	înmormântare	noun	funeral
2430	e-mail	noun	e-mail
2431	începând	verb	gerund of începe
2432	atrage	verb	to attract, draw, lure, entice, bring
2433	avere	noun	assets; wealth
2434	adunat	adj	collected
2435	ating	verb	first-person singular present indicative/subjunctive
2436	fier	noun	iron; tool made of iron
2437	guvern	noun	government
2438	garda	noun	definite nominative/accusative singular of gardă
2439	plata	noun	definite nominative/accusative singular of plată
2440	amabil	adj	kind, genial, friendly, amiable; willing
2441	blestemat	adj	cursed; accursed, damned
2442	oraș	noun	city, town
2443	motor	noun	engine; motorcycle
2444	convinge	verb	to convince, to persuade
2445	numerele	noun	definite nominative/accusative plural of număr
2446	sos	noun	sauce; gravy
2447	apărea	verb	to appear, show up, turn up, emerge
2448	firmă	noun	company; shop sign
2449	scări	noun	plural of scară
2450	tre	verb	alternative typography of tre’
2451	f	adv	abbreviation of foarte (“very, a lot”)
2452	confirmat	noun	confirmation
2453	datorie	noun	debt; duty
2454	putini	name	a village in Răchitoasa, Bacău County, Romania
2455	învinge	verb	to win (against an opponent)
2456	inspector	noun	inspector
2457	recunoscător	adj	grateful
2458	impresionat	adj	impressed
2459	dispozitiv	noun	device
2460	truc	noun	trick
2461	interes	noun	interest
2462	copaci	noun	plural of copac
2463	statelor	noun	definite genitive/dative plural
2464	spion	noun	spy
2465	mirosi	verb	to smell (take in a smell)
2466	construi	verb	to construct, build
2467	pastile	noun	plural of pastilă
2468	hartă	noun	map
2469	indian	adj	Indian (of, from or relating to India)
2470	treburi	noun	plural of treabă
2471	doctorii	noun	definite nominative/accusative plural of doctor
2472	identitate	noun	identity
2473	discurs	noun	discourse; speech
2474	vorbești	verb	second-person singular present indicative of vorbi: you speak
2475	apuca	verb	to grab, grip, grasp, seize
2476	același	det	the same
2477	numită	adj	feminine singular of numit
2478	floare	noun	flower
2479	sursă	noun	source
2480	locului	noun	definite dative/genitive singular of loc
2481	lumi	noun	plural; genitive/dative singular
2482	publică	adj	indefinite feminine nominative/accusative singular of public
2483	metal	noun	metal
2484	pipi	noun	pee
2485	top	noun	ream (of paper)
2486	furtuna	noun	definite nominative/accusative singular of furtună
2487	cădea	verb	to fall
2488	privată	noun	toilet
2489	căutare	noun	search
2490	amicul	noun	definite nominative/accusative singular of amic
2491	eliminat	adj	eliminated
2492	maxim	adj	maximum
2493	pagina	verb	to paginate
2494	identificat	adj	identified
2495	fericirea	noun	definite nominative/accusative singular of fericire
2496	pistă	noun	track
2497	limita	verb	to limit
2498	toaleta	verb	to trim a tree's branches
2499	demon	noun	demon; a despicable person
2500	produce	verb	to produce
2501	acelui	det	genitive/dative masculine/neuter singular of acel
2502	albi	verb	to whiten; to bleach
2503	jefuit	noun	robbed
2504	gluma	noun	definite nominative/accusative singular of glumă
2505	câmpul	name	a river in Bacău, Romania, tributary to the Uz
2506	mașină	noun	car; machine
2507	preajmă	noun	surroundings; vicinity, nearness
2508	majestate	noun	majesty
2509	carieră	noun	career; quarry
2510	ie	noun	traditional Romanian embroidered blouse
2511	servit	adj	served
2512	lider	noun	leader (of a party or organization)
2513	proaspăt	adj	fresh; sweet
2514	ghinion	noun	bad luck; jinx
2515	panică	noun	panic
2516	casele	noun	definite nominative/accusative plural of casă
2517	argint	noun	silver (metal); silver object
2518	continuat	verb	past participle of continua (“continued”)
2519	mister	noun	mystery
2520	vârful	noun	nominative/accusative singular definite of vârf
2521	elibera	verb	to free, set free, release
2522	rob	noun	slave
2523	albe	adj	nominative/accusative feminine/neuter plural of alb
2524	coleg	noun	colleague (a fellow participant in work or school)
2525	distrezi	verb	second-person singular present indicative/subjunctive of distra
2526	sprijin	noun	support, assistance, aid, succor
2527	rănesc	verb	first-person singular present indicative/subjunctive
2528	superb	adj	superb
2529	învins	verb	past participle of învinge
2530	supăra	verb	to upset; to irritate, annoy
2531	du	verb	second-person singular imperative of duce
2532	memorie	noun	memory (mental faculty)
2533	dansez	verb	first-person singular present indicative/subjunctive of dansa
2534	vampir	noun	vampire
2535	cadouri	noun	plural of cadou
2536	piese	noun	plural of piesă
2537	comis	noun	equerry
2538	faptului	noun	definite dative/genitive singular of fapt
2539	urs	noun	bear
2540	piscină	noun	pool
2541	subsol	noun	basement
2542	gânduri	noun	plural of gând: thoughts
2543	coasta	noun	definite nominative/accusative singular of coastă
2544	regină	noun	queen
2545	deget	noun	finger; digit
2546	întâlnească	verb	third-person singular/plural present subjunctive of întâlni
2547	motivele	noun	definite nominative/accusative plural of motiv
2548	whisky	noun	whisky, whiskey
2549	vinul	noun	definite nominative/accusative singular of vin
2550	fizică	noun	physics
2551	grădină	noun	garden
2552	ancheta	verb	to investigate
2553	zăpadă	noun	snow
2554	concurs	noun	contest, competition
2555	lovesc	verb	first-person singular present indicative/subjunctive
2556	delicios	adj	delicious
2557	posta	verb	to post; to settle
2558	iubită	adj	nominative/accusative feminine singular of iubit (“loved”)
2559	profit	noun	profit
2560	râd	verb	first-person singular present indicative/subjunctive
2561	furi	verb	second-person singular present indicative/subjunctive of fura
2562	seamă	noun	account; reckoning, consideration
2563	bată	noun	belt, girdle
2564	statului	noun	definite dative/genitive singular of stat
2565	prezentat	adj	submitted; presented
2566	culci	verb	second-person singular present indicative/subjunctive of culca
2567	invers	adj	backwards, the other way around
2568	color	adj	color / colour (about film or photography)
2569	falsă	adj	indefinite feminine nominative/accusative singular of fals
2570	cunoscută	noun	female equivalent of cunoscut
2571	meritat	adj	merited, deserved
2572	student	noun	college student
2573	actor	noun	actor
2574	ulei	noun	oil (liquid fat)
2575	mormânt	noun	grave, tomb
2576	anumit	det	certain (having been determined but unspecified)
2577	print	noun	print
2578	senator	noun	senator
2579	oglindă	noun	mirror
2580	lucrurilor	noun	definite genitive/dative plural of lucru
2581	junior	adj	junior
2582	locuit	adj	inhabited
2583	nepotrivit	adj	inappropriate
2584	faptele	noun	definite nominative/accusative plural of fapt
2585	logică	noun	logic
2586	comporta	verb	to behave, to conduct, comport oneself
2587	pălăria	noun	definite nominative/accusative singular of pălărie
2588	dumitale	pron	(to) you; your
2589	ieși	verb	to exit, to get out
2590	adresă	noun	address (address written on a letter)
2591	doriți	verb	second-person plural present indicative/subjunctive
2592	crimele	noun	definite nominative/accusative plural of crimă
2593	glume	noun	indefinite plural
2594	cântat	noun	singing
2595	persoanele	noun	definite nominative/accusative plural of persoană
2596	vorbe	noun	indefinite nominative/accusative/genitive/dative plural
2597	federal	adj	federal
2598	echipe	noun	plural; genitive/dative singular
2599	incident	adj	incidental
2600	creaturi	noun	plural of creatură
2601	scuzi	verb	second-person singular present indicative/subjunctive of scuza
2602	opera	verb	to operate
2603	principală	adj	indefinite nominative/accusative feminine singular of principal
2604	fabrica	verb	to fabricate, invent
2605	grăbim	verb	first-person plural present indicative/subjunctive of grăbi
2606	avantaj	noun	advantage
2607	benzină	noun	gas, gasoline, petrol
2608	avans	noun	advance payment
2609	găsită	adj	feminine singular of găsit
2610	ou	noun	egg; ball (testicle)
2611	însumi	pron	myself
2612	ziare	noun	plural of ziar
2613	cad	verb	first-person singular present indicative/subjunctive
2614	original	adj	original
2615	proprietate	noun	property, possession
2616	cec	noun	caecum
2617	așteaptă	verb	third-person singular/plural present indicative
2618	monica	name	a female given name, equivalent to English Monica
2619	filmele	noun	definite nominative/accusative plural of film
2620	tehnic	adj	technical
2621	bagă	verb	third-person singular present indicative
2622	sincronizare	noun	synchronization
2623	sparge	verb	to break, burst, shatter, snap
2624	cobor	name	a village in Ticușu, Brașov County, Romania
2625	stomac	noun	stomach
2626	caldă	adj	feminine singular nominative/accusative of cald
2627	primarul	adj	definite nominative/accusative masculine singular of primar (“primary”)
2628	cânte	verb	third-person singular/plural present subjunctive of cânta
2629	albastră	adj	indefinite feminine nominative/accusative singular of albastru
2630	militară	noun	female equivalent of militar
2631	gres	noun	sandstone
2632	punte	noun	footbridge, small or narrow bridge
2633	concert	noun	concert
2634	sări	verb	to jump; to skip
2635	prietenilor	noun	definite genitive/dative plural
2636	că-s	contraction	contraction of că + sunt
2637	opinia	noun	definite nominative/accusative singular of opinie
2638	scăzut	adj	lowered, reduced
2639	fantoma	noun	definite nominative/accusative singular of fantomă
2640	slabă	adj	indefinite feminine nominative/accusative singular of slab
2641	retrag	verb	first-person singular present indicative/subjunctive
2642	piper	noun	pepper (plant); pepper (spice)
2643	dură	adj	indefinite feminine nominative/accusative singular of dur
2644	filmat	adj	filmed
2645	fusese	verb	third-person singular pluperfect indicative of fi: he/she had been
2646	podul	noun	definite nominative/accusative singular of pod
2647	mirare	noun	wonder, amazement
2648	prizonier	noun	prisoner
